AKJV
American King James Version
Genesis 1:1	In the beginning God created the heaven and the earth.
Amos 9:1	I saw the LORD standing on the altar: and he said, Smite the lintel of the door, that the posts may shake: and cut them in the head, all of them; and I will slay the last of them with the sword: he that flees of them shall not flee away, and he that escapes of them shall not be delivered.
Amos 9:2	Though they dig into hell, there shall my hand take them; though they climb up to heaven, there will I bring them down:
Amos 9:3	And though they hide themselves in the top of Carmel, I will search and take them out there; and though they be hid from my sight in the bottom of the sea, there will I command the serpent, and he shall bite them:
Amos 9:4	And though they go into captivity before their enemies, there will I command the sword, and it shall slay them: and I will set my eyes on them for evil, and not for good.
Amos 9:5	And the Lord GOD of hosts is he that touches the land, and it shall melt, and all that dwell therein shall mourn: and it shall rise up wholly like a flood; and shall be drowned, as by the flood of Egypt.
Amos 9:6	It is he that builds his stories in the heaven, and has founded his troop in the earth; he that calls for the waters of the sea, and pours them out on the face of the earth: The LORD is his name.
Amos 9:7	Are you not as children of the Ethiopians to me, O children of Israel? said the LORD. Have not I brought up Israel out of the land of Egypt? and the Philistines from Caphtor, and the Syrians from Kir?
Amos 9:8	Behold, the eyes of the Lord GOD are on the sinful kingdom, and I will destroy it from off the face of the earth; saving that I will not utterly destroy the house of Jacob, said the LORD.
Amos 9:9	For, see, I will command, and I will sift the house of Israel among all nations, like as corn is sifted in a sieve, yet shall not the least grain fall on the earth.
Amos 9:10	All the sinners of my people shall die by the sword, which say, The evil shall not overtake nor prevent us.
Amos 9:11	In that day will I raise up the tabernacle of David that is fallen, and close up the breaches thereof; and I will raise up his ruins, and I will build it as in the days of old:
Amos 9:12	That they may possess the remnant of Edom, and of all the heathen, which are called by my name, said the LORD that does this.
Amos 9:13	Behold, the days come, said the LORD, that the plowman shall overtake the reaper, and the treader of grapes him that sows seed; and the mountains shall drop sweet wine, and all the hills shall melt.
Amos 9:14	And I will bring again the captivity of my people of Israel, and they shall build the waste cities, and inhabit them; and they shall plant vineyards, and drink the wine thereof; they shall also make gardens, and eat the fruit of them.
Amos 9:15	And I will plant them on their land, and they shall no more be pulled up out of their land which I have given them, said the LORD your God.
Obadiah 1:1	The vision of Obadiah. Thus said the Lord GOD concerning Edom; We have heard a rumor from the LORD, and an ambassador is sent among the heathen, Arise you, and let us rise up against her in battle.
Obadiah 1:2	Behold, I have made you small among the heathen: you are greatly despised.
Obadiah 1:3	The pride of your heart has deceived you, you that dwell in the clefts of the rock, whose habitation is high; that said in his heart, Who shall bring me down to the ground?
Obadiah 1:4	Though you exalt yourself as the eagle, and though you set your nest among the stars, there will I bring you down, said the LORD.
Obadiah 1:5	If thieves came to you, if robbers by night, (how are you cut off!) would they not have stolen till they had enough? if the grape gatherers came to you, would they not leave some grapes?
Obadiah 1:6	How are the things of Esau searched out! how are his hidden things sought up!
Obadiah 1:7	All the men of your confederacy have brought you even to the border: the men that were at peace with you have deceived you, and prevailed against you; that they eat your bread have laid a wound under you: there is none understanding in him.
Obadiah 1:8	Shall I not in that day, said the LORD, even destroy the wise men out of Edom, and understanding out of the mount of Esau?
Obadiah 1:9	And your mighty men, O Teman, shall be dismayed, to the end that every one of the mount of Esau may be cut off by slaughter.
Obadiah 1:10	For your violence against your brother Jacob shame shall cover you, and you shall be cut off for ever.
Obadiah 1:11	In the day that you stood on the other side, in the day that the strangers carried away captive his forces, and foreigners entered into his gates, and cast lots on Jerusalem, even you were as one of them.
Obadiah 1:12	But you should not have looked on the day of your brother in the day that he became a stranger; neither should you have rejoiced over the children of Judah in the day of their destruction; neither should you have spoken proudly in the day of distress.
Obadiah 1:13	You should not have entered into the gate of my people in the day of their calamity; yes, you should not have looked on their affliction in the day of their calamity, nor have laid hands on their substance in the day of their calamity;
Obadiah 1:14	Neither should you have stood in the crossway, to cut off those of his that did escape; neither should you have delivered up those of his that did remain in the day of distress.
Obadiah 1:15	For the day of the LORD is near on all the heathen: as you have done, it shall be done to you: your reward shall return on your own head.
Obadiah 1:16	For as you have drunk on my holy mountain, so shall all the heathen drink continually, yes, they shall drink, and they shall swallow down, and they shall be as though they had not been.
Obadiah 1:17	But on mount Zion shall be deliverance, and there shall be holiness; and the house of Jacob shall possess their possessions.
Obadiah 1:18	And the house of Jacob shall be a fire, and the house of Joseph a flame, and the house of Esau for stubble, and they shall kindle in them, and devour them; and there shall not be any remaining of the house of Esau; for the LORD has spoken it.
Obadiah 1:19	And they of the south shall possess the mount of Esau; and they of the plain the Philistines: and they shall possess the fields of Ephraim, and the fields of Samaria: and Benjamin shall possess Gilead.
Obadiah 1:20	And the captivity of this host of the children of Israel shall possess that of the Canaanites, even to Zarephath; and the captivity of Jerusalem, which is in Sepharad, shall possess the cities of the south.
Obadiah 1:21	And saviors shall come up on mount Zion to judge the mount of Esau; and the kingdom shall be the LORD’s.
Jonah 1:1	Now the word of the LORD came to Jonah the son of Amittai, saying,
Jonah 1:2	Arise, go to Nineveh, that great city, and cry against it; for their wickedness is come up before me.
Jonah 1:3	But Jonah rose up to flee to Tarshish from the presence of the LORD, and went down to Joppa; and he found a ship going to Tarshish: so he paid the fare thereof, and went down into it, to go with them to Tarshish from the presence of the LORD.
Jonah 1:4	But the LORD sent out a great wind into the sea, and there was a mighty tempest in the sea, so that the ship was like to be broken.
Jonah 1:5	Then the mariners were afraid, and cried every man to his god, and cast forth the wares that were in the ship into the sea, to lighten it of them. But Jonah was gone down into the sides of the ship; and he lay, and was fast asleep.
Jonah 1:6	So the shipmaster came to him, and said to him, What mean you, O sleeper? arise, call on your God, if so be that God will think on us, that we perish not.
Jonah 1:7	And they said every one to his fellow, Come, and let us cast lots, that we may know for whose cause this evil is on us. So they cast lots, and the lot fell on Jonah.
Jonah 1:8	Then said they to him, Tell us, we pray you, for whose cause this evil is on us; What is your occupation? and from where come you? what is your country? and of what people are you?
Jonah 1:9	And he said to them, I am an Hebrew; and I fear the LORD, the God of heaven, which has made the sea and the dry land.
Jonah 1:10	Then were the men exceedingly afraid, and said to him. Why have you done this? For the men knew that he fled from the presence of the LORD, because he had told them.
Jonah 1:11	Then said they to him, What shall we do to you, that the sea may be calm to us? for the sea worked, and was tempestuous.
Jonah 1:12	And he said to them, Take me up, and cast me forth into the sea; so shall the sea be calm to you: for I know that for my sake this great tempest is on you.
Jonah 1:13	Nevertheless the men rowed hard to bring it to the land; but they could not: for the sea worked, and was tempestuous against them.
Jonah 1:14	Why they cried to the LORD, and said, We beseech you, O LORD, we beseech you, let us not perish for this man’s life, and lay not on us innocent blood: for you, O LORD, have done as it pleased you.
Jonah 1:15	So they look up Jonah, and cast him forth into the sea: and the sea ceased from her raging.
Jonah 1:16	Then the men feared the LORD exceedingly, and offered a sacrifice to the LORD, and made vows.
Jonah 1:17	Now the LORD had prepared a great fish to swallow up Jonah. And Jonah was in the belly of the fish three days and three nights.
Jonah 2:1	Then Jonah prayed to the LORD his God out of the fish’s belly,
Jonah 2:2	And said, I cried by reason of my affliction to the LORD, and he heard me; out of the belly of hell cried I, and you heard my voice.
Jonah 2:3	For you had cast me into the deep, in the middle of the seas; and the floods compassed me about: all your billows and your waves passed over me.
Jonah 2:4	Then I said, I am cast out of your sight; yet I will look again toward your holy temple.
Jonah 2:5	The waters compassed me about, even to the soul: the depth closed me round about, the weeds were wrapped about my head.
Jonah 2:6	I went down to the bottoms of the mountains; the earth with her bars was about me for ever: yet have you brought up my life from corruption, O LORD my God.
Jonah 2:7	When my soul fainted within me I remembered the LORD: and my prayer came in to you, into your holy temple.
Jonah 2:8	They that observe lying vanities forsake their own mercy.
Jonah 2:9	But I will sacrifice to you with the voice of thanksgiving; I will pay that that I have vowed. Salvation is of the LORD.
Jonah 2:10	And the LORD spoke to the fish, and it vomited out Jonah on the dry land.
Jonah 3:1	And the word of the LORD came to Jonah the second time, saying,
Jonah 3:2	Arise, go to Nineveh, that great city, and preach to it the preaching that I bid you.
Jonah 3:3	So Jonah arose, and went to Nineveh, according to the word of the LORD. Now Nineveh was an exceeding great city of three days’ journey.
Jonah 3:4	And Jonah began to enter into the city a day’s journey, and he cried, and said, Yet forty days, and Nineveh shall be overthrown.
Jonah 3:5	So the people of Nineveh believed God, and proclaimed a fast, and put on sackcloth, from the greatest of them even to the least of them.
Jonah 3:6	For word came to the king of Nineveh, and he arose from his throne, and he laid his robe from him, and covered him with sackcloth, and sat in ashes.
Jonah 3:7	And he caused it to be proclaimed and published through Nineveh by the decree of the king and his nobles, saying, Let neither man nor beast, herd nor flock, taste any thing: let them not feed, nor drink water:
Jonah 3:8	But let man and beast be covered with sackcloth, and cry mightily to God: yes, let them turn every one from his evil way, and from the violence that is in their hands.
Jonah 3:9	Who can tell if God will turn and repent, and turn away from his fierce anger, that we perish not?
Jonah 3:10	And God saw their works, that they turned from their evil way; and God repented of the evil, that he had said that he would do to them; and he did it not.
Jonah 4:1	But it displeased Jonah exceedingly, and he was very angry.
Jonah 4:2	And he prayed to the LORD, and said, I pray you, O LORD, was not this my saying, when I was yet in my country? Therefore I fled before to Tarshish: for I knew that you are a gracious God, and merciful, slow to anger, and of great kindness, and repent you of the evil.
Jonah 4:3	Therefore now, O LORD, take, I beseech you, my life from me; for it is better for me to die than to live.
Jonah 4:4	Then said the LORD, Do you well to be angry?
Jonah 4:5	So Jonah went out of the city, and sat on the east side of the city, and there made him a booth, and sat under it in the shadow, till he might see what would become of the city.
Jonah 4:6	And the LORD God prepared a gourd, and made it to come up over Jonah, that it might be a shadow over his head, to deliver him from his grief. So Jonah was exceeding glad of the gourd.
Jonah 4:7	But God prepared a worm when the morning rose the next day, and it smote the gourd that it withered.
Jonah 4:8	And it came to pass, when the sun did arise, that God prepared a vehement east wind; and the sun beat on the head of Jonah, that he fainted, and wished in himself to die, and said, It is better for me to die than to live.
Jonah 4:9	And God said to Jonah, Do you well to be angry for the gourd? And he said, I do well to be angry, even to death.
Jonah 4:10	Then said the LORD, You have had pity on the gourd, for the which you have not labored, neither made it grow; which came up in a night, and perished in a night:
Jonah 4:11	And should not I spare Nineveh, that great city, wherein are more then six score thousand persons that cannot discern between their right hand and their left hand; and also much cattle?
Micah 1:1	The word of the LORD that came to Micah the Morasthite in the days of Jotham, Ahaz, and Hezekiah, kings of Judah, which he saw concerning Samaria and Jerusalem.
Micah 1:2	Hear, all you people; listen, O earth, and all that therein is: and let the Lord GOD be witness against you, the LORD from his holy temple.
Micah 1:3	For, behold, the LORD comes forth out of his place, and will come down, and tread on the high places of the earth.
Micah 1:4	And the mountains shall be molten under him, and the valleys shall be cleft, as wax before the fire, and as the waters that are poured down a steep place.
Micah 1:5	For the transgression of Jacob is all this, and for the sins of the house of Israel. What is the transgression of Jacob? is it not Samaria? and what are the high places of Judah? are they not Jerusalem?
Micah 1:6	Therefore I will make Samaria as an heap of the field, and as plantings of a vineyard: and I will pour down the stones thereof into the valley, and I will discover the foundations thereof.
Micah 1:7	And all the graven images thereof shall be beaten to pieces, and all the hires thereof shall be burned with the fire, and all the idols thereof will I lay desolate: for she gathered it of the hire of an harlot, and they shall return to the hire of an harlot.
Micah 1:8	Therefore I will wail and howl, I will go stripped and naked: I will make a wailing like the dragons, and mourning as the owls.
Micah 1:9	For her wound is incurable; for it is come to Judah; he is come to the gate of my people, even to Jerusalem.
Micah 1:10	Declare you it not at Gath, weep you not at all: in the house of Aphrah roll yourself in the dust.
Micah 1:11	Pass you away, you inhabitant of Saphir, having your shame naked: the inhabitant of Zaanan came not forth in the mourning of Bethezel; he shall receive of you his standing.
Micah 1:12	For the inhabitant of Maroth waited carefully for good: but evil came down from the LORD to the gate of Jerusalem.
Micah 1:13	O you inhabitant of Lachish, bind the chariot to the swift beast: she is the beginning of the sin to the daughter of Zion: for the transgressions of Israel were found in you.
Micah 1:14	Therefore shall you give presents to Moreshethgath: the houses of Achzib shall be a lie to the kings of Israel.
Micah 1:15	Yet will I bring an heir to you, O inhabitant of Mareshah: he shall come to Adullam the glory of Israel.
Micah 1:16	Make you bald, and poll you for your delicate children; enlarge your baldness as the eagle; for they are gone into captivity from you.
Micah 2:1	Woe to them that devise iniquity, and work evil on their beds! when the morning is light, they practice it, because it is in the power of their hand.
Micah 2:2	And they covet fields, and take them by violence; and houses, and take them away: so they oppress a man and his house, even a man and his heritage.
Micah 2:3	Therefore thus said the LORD; Behold, against this family do I devise an evil, from which you shall not remove your necks; neither shall you go haughtily: for this time is evil.
Micah 2:4	In that day shall one take up a parable against you, and lament with a doleful lamentation, and say, We be utterly spoiled: he has changed the portion of my people: how has he removed it from me! turning away he has divided our fields.
Micah 2:5	Therefore you shall have none that shall cast a cord by lot in the congregation of the LORD.
Micah 2:6	Prophesy you not, say they to them that prophesy: they shall not prophesy to them, that they shall not take shame.
Micah 2:7	O you that are named the house of Jacob, is the spirit of the LORD straitened? are these his doings? do not my words do good to him that walks uprightly?
Micah 2:8	Even of late my people is risen up as an enemy: you pull off the robe with the garment from them that pass by securely as men averse from war.
Micah 2:9	The women of my people have you cast out from their pleasant houses; from their children have you taken away my glory for ever.
Micah 2:10	Arise you, and depart; for this is not your rest: because it is polluted, it shall destroy you, even with a sore destruction.
Micah 2:11	If a man walking in the spirit and falsehood do lie, saying, I will prophesy to you of wine and of strong drink; he shall even be the prophet of this people.
Micah 2:12	I will surely assemble, O Jacob, all of you; I will surely gather the remnant of Israel; I will put them together as the sheep of Bozrah, as the flock in the middle of their fold: they shall make great noise by reason of the multitude of men.
Micah 2:13	The breaker is come up before them: they have broken up, and have passed through the gate, and are gone out by it: and their king shall pass before them, and the LORD on the head of them.
Micah 3:1	And I said, Hear, I pray you, O heads of Jacob, and you princes of the house of Israel; Is it not for you to know judgment?
Micah 3:2	Who hate the good, and love the evil; who pluck off their skin from off them, and their flesh from off their bones;
Micah 3:3	Who also eat the flesh of my people, and flay their skin from off them; and they break their bones, and chop them in pieces, as for the pot, and as flesh within the caldron.
Micah 3:4	Then shall they cry to the LORD, but he will not hear them: he will even hide his face from them at that time, as they have behaved themselves ill in their doings.
Micah 3:5	Thus said the LORD concerning the prophets that make my people err, that bite with their teeth, and cry, Peace; and he that puts not into their mouths, they even prepare war against him.
Micah 3:6	Therefore night shall be to you, that you shall not have a vision; and it shall be dark to you, that you shall not divine; and the sun shall go down over the prophets, and the day shall be dark over them.
Micah 3:7	Then shall the seers be ashamed, and the diviners confounded: yes, they shall all cover their lips; for there is no answer of God.
Micah 3:8	But truly I am full of power by the spirit of the LORD, and of judgment, and of might, to declare to Jacob his transgression, and to Israel his sin.
Micah 3:9	Hear this, I pray you, you heads of the house of Jacob, and princes of the house of Israel, that abhor judgment, and pervert all equity.
Micah 3:10	They build up Zion with blood, and Jerusalem with iniquity.
Micah 3:11	The heads thereof judge for reward, and the priests thereof teach for hire, and the prophets thereof divine for money: yet will they lean on the LORD, and say, Is not the LORD among us? none evil can come on us.
Micah 3:12	Therefore shall Zion for your sake be plowed as a field, and Jerusalem shall become heaps, and the mountain of the house as the high places of the forest.
Micah 4:1	But in the last days it shall come to pass, that the mountain of the house of the LORD shall be established in the top of the mountains, and it shall be exalted above the hills; and people shall flow to it.
Micah 4:2	And many nations shall come, and say, Come, and let us go up to the mountain of the LORD, and to the house of the God of Jacob; and he will teach us of his ways, and we will walk in his paths: for the law shall go forth of Zion, and the word of the LORD from Jerusalem.
Micah 4:3	And he shall judge among many people, and rebuke strong nations afar off; and they shall beat their swords into plowshares, and their spears into pruning hooks: nation shall not lift up a sword against nation, neither shall they learn war any more.
Micah 4:4	But they shall sit every man under his vine and under his fig tree; and none shall make them afraid: for the mouth of the LORD of hosts has spoken it.
Micah 4:5	For all people will walk every one in the name of his god, and we will walk in the name of the LORD our God for ever and ever.
Micah 4:6	In that day, said the LORD, will I assemble her that halts, and I will gather her that is driven out, and her that I have afflicted;
Micah 4:7	And I will make her that halted a remnant, and her that was cast far off a strong nation: and the LORD shall reign over them in mount Zion from now on, even for ever.
Micah 4:8	And you, O tower of the flock, the strong hold of the daughter of Zion, to you shall it come, even the first dominion; the kingdom shall come to the daughter of Jerusalem.
Micah 4:9	Now why do you cry out aloud? is there no king in you? is your counselor perished? for pangs have taken you as a woman in travail.
Micah 4:10	Be in pain, and labor to bring forth, O daughter of Zion, like a woman in travail: for now shall you go forth out of the city, and you shall dwell in the field, and you shall go even to Babylon; there shall you be delivered; there the LORD shall redeem you from the hand of your enemies.
Micah 4:11	Now also many nations are gathered against you, that say, Let her be defiled, and let our eye look on Zion.
Micah 4:12	But they know not the thoughts of the LORD, neither understand they his counsel: for he shall gather them as the sheaves into the floor.
Micah 4:13	Arise and thresh, O daughter of Zion: for I will make your horn iron, and I will make your hoofs brass: and you shall beat in pieces many people: and I will consecrate their gain to the LORD, and their substance to the Lord of the whole earth.
Micah 5:1	Now gather yourself in troops, O daughter of troops: he has laid siege against us: they shall smite the judge of Israel with a rod on the cheek.
Micah 5:2	But you, Bethlehem Ephratah, though you be little among the thousands of Judah, yet out of you shall he come forth to me that is to be ruler in Israel; whose goings forth have been from of old, from everlasting.
Micah 5:3	Therefore will he give them up, until the time that she which travails has brought forth: then the remnant of his brothers shall return to the children of Israel.
Micah 5:4	And he shall stand and feed in the strength of the LORD, in the majesty of the name of the LORD his God; and they shall abide: for now shall he be great to the ends of the earth.
Micah 5:5	And this man shall be the peace, when the Assyrian shall come into our land: and when he shall tread in our palaces, then shall we raise against him seven shepherds, and eight principal men.
Micah 5:6	And they shall waste the land of Assyria with the sword, and the land of Nimrod in the entrances thereof: thus shall he deliver us from the Assyrian, when he comes into our land, and when he treads within our borders.
Micah 5:7	And the remnant of Jacob shall be in the middle of many people as a dew from the LORD, as the showers on the grass, that tarries not for man, nor waits for the sons of men.
Micah 5:8	And the remnant of Jacob shall be among the Gentiles in the middle of many people as a lion among the beasts of the forest, as a young lion among the flocks of sheep: who, if he go through, both treads down, and tears in pieces, and none can deliver.
Micah 5:9	Your hand shall be lifted up on your adversaries, and all your enemies shall be cut off.
Micah 5:10	And it shall come to pass in that day, said the LORD, that I will cut off your horses out of the middle of you, and I will destroy your chariots:
Micah 5:11	And I will cut off the cities of your land, and throw down all your strong holds:
Micah 5:12	And I will cut off witchcrafts out of your hand; and you shall have no more soothsayers:
Micah 5:13	Your graven images also will I cut off, and your standing images out of the middle of you; and you shall no more worship the work of your hands.
Micah 5:14	And I will pluck up your groves out of the middle of you: so will I destroy your cities.
Micah 5:15	And I will execute vengeance in anger and fury on the heathen, such as they have not heard.
Micah 6:1	Hear you now what the LORD said; Arise, contend you before the mountains, and let the hills hear your voice.
Micah 6:2	Hear you, O mountains, the LORD’s controversy, and you strong foundations of the earth: for the LORD has a controversy with his people, and he will plead with Israel.
Micah 6:3	O my people, what have I done to you? and wherein have I wearied you? testify against me.
Micah 6:4	For I brought you up out of the land of Egypt, and redeemed you out of the house of servants; and I sent before you Moses, Aaron, and Miriam.
Micah 6:5	O my people, remember now what Balak king of Moab consulted, and what Balaam the son of Beor answered him from Shittim to Gilgal; that you may know the righteousness of the LORD.
Micah 6:6	With which shall I come before the LORD, and bow myself before the high God? shall I come before him with burnt offerings, with calves of a year old?
Micah 6:7	Will the LORD be pleased with thousands of rams, or with ten thousands of rivers of oil? shall I give my firstborn for my transgression, the fruit of my body for the sin of my soul?
Micah 6:8	He has showed you, O man, what is good; and what does the LORD require of you, but to do justly, and to love mercy, and to walk humbly with your God?
Micah 6:9	The LORD’s voice cries to the city, and the man of wisdom shall see your name: hear you the rod, and who has appointed it.
Micah 6:10	Are there yet the treasures of wickedness in the house of the wicked, and the scant measure that is abominable?
Micah 6:11	Shall I count them pure with the wicked balances, and with the bag of deceitful weights?
Micah 6:12	For the rich men thereof are full of violence, and the inhabitants thereof have spoken lies, and their tongue is deceitful in their mouth.
Micah 6:13	Therefore also will I make you sick in smiting you, in making you desolate because of your sins.
Micah 6:14	You shall eat, but not be satisfied; and your casting down shall be in the middle of you; and you shall take hold, but shall not deliver; and that which you deliver will I give up to the sword.
Micah 6:15	You shall sow, but you shall not reap; you shall tread the olives, but you shall not anoint you with oil; and sweet wine, but shall not drink wine.
Micah 6:16	For the statutes of Omri are kept, and all the works of the house of Ahab, and you walk in their counsels; that I should make you a desolation, and the inhabitants thereof an hissing: therefore you shall bear the reproach of my people.
Micah 7:1	Woe is me! for I am as when they have gathered the summer fruits, as the grape gleanings of the vintage: there is no cluster to eat: my soul desired the first ripe fruit.
Micah 7:2	The good man is perished out of the earth: and there is none upright among men: they all lie in wait for blood; they hunt every man his brother with a net.
Micah 7:3	That they may do evil with both hands earnestly, the prince asks, and the judge asks for a reward; and the great man, he utters his mischievous desire: so they wrap it up.
Micah 7:4	The best of them is as a brier: the most upright is sharper than a thorn hedge: the day of your watchmen and your visitation comes; now shall be their perplexity.
Micah 7:5	Trust you not in a friend, put you not confidence in a guide: keep the doors of your mouth from her that lies in your bosom.
Micah 7:6	For the son dishonors the father, the daughter rises up against her mother, the daughter in law against her mother in law; a man’s enemies are the men of his own house.
Micah 7:7	Therefore I will look to the LORD; I will wait for the God of my salvation: my God will hear me.
Micah 7:8	Rejoice not against me, O my enemy: when I fall, I shall arise; when I sit in darkness, the LORD shall be a light to me.
Micah 7:9	I will bear the indignation of the LORD, because I have sinned against him, until he plead my cause, and execute judgment for me: he will bring me forth to the light, and I shall behold his righteousness.
Micah 7:10	Then she that is my enemy shall see it, and shame shall cover her which said to me, Where is the LORD your God? my eyes shall behold her: now shall she be trodden down as the mire of the streets.
Micah 7:11	In the day that your walls are to be built, in that day shall the decree be far removed.
Micah 7:12	In that day also he shall come even to you from Assyria, and from the fortified cities, and from the fortress even to the river, and from sea to sea, and from mountain to mountain.
Micah 7:13	Notwithstanding the land shall be desolate because of them that dwell therein, for the fruit of their doings.
Micah 7:14	Feed your people with your rod, the flock of your heritage, which dwell solitarily in the wood, in the middle of Carmel: let them feed in Bashan and Gilead, as in the days of old.
Micah 7:15	According to the days of your coming out of the land of Egypt will I show to him marvelous things.
Micah 7:16	The nations shall see and be confounded at all their might: they shall lay their hand on their mouth, their ears shall be deaf.
Micah 7:17	They shall lick the dust like a serpent, they shall move out of their holes like worms of the earth: they shall be afraid of the LORD our God, and shall fear because of you.
Micah 7:18	Who is a God like to you, that pardons iniquity, and passes by the transgression of the remnant of his heritage? he retains not his anger for ever, because he delights in mercy.
Micah 7:19	He will turn again, he will have compassion on us; he will subdue our iniquities; and you will cast all their sins into the depths of the sea.
Micah 7:20	You will perform the truth to Jacob, and the mercy to Abraham, which you have sworn to our fathers from the days of old.
Nahum 1:1	The burden of Nineveh. The book of the vision of Nahum the Elkoshite.
Nahum 1:2	God is jealous, and the LORD revenges; the LORD revenges, and is furious; the LORD will take vengeance on his adversaries, and he reserves wrath for his enemies.
Nahum 1:3	The LORD is slow to anger, and great in power, and will not at all acquit the wicked: the LORD has his way in the whirlwind and in the storm, and the clouds are the dust of his feet.
Nahum 1:4	He rebukes the sea, and makes it dry, and dries up all the rivers: Bashan languishes, and Carmel, and the flower of Lebanon languishes.
Nahum 1:5	The mountains quake at him, and the hills melt, and the earth is burned at his presence, yes, the world, and all that dwell therein.
Nahum 1:6	Who can stand before his indignation? and who can abide in the fierceness of his anger? his fury is poured out like fire, and the rocks are thrown down by him.
Nahum 1:7	The LORD is good, a strong hold in the day of trouble; and he knows them that trust in him.
Nahum 1:8	But with an overrunning flood he will make an utter end of the place thereof, and darkness shall pursue his enemies.
Nahum 1:9	What do you imagine against the LORD? he will make an utter end: affliction shall not rise up the second time.
Nahum 1:10	For while they be entwined together as thorns, and while they are drunken as drunkards, they shall be devoured as stubble fully dry.
Nahum 1:11	There is one come out of you, that imagines evil against the LORD, a wicked counselor.
Nahum 1:12	Thus said the LORD; Though they be quiet, and likewise many, yet thus shall they be cut down, when he shall pass through. Though I have afflicted you, I will afflict you no more.
Nahum 1:13	For now will I break his yoke from off you, and will burst your bonds in sunder.
Nahum 1:14	And the LORD has given a commandment concerning you, that no more of your name be sown: out of the house of your gods will I cut off the graven image and the molten image: I will make your grave; for you are vile.
Nahum 1:15	Behold on the mountains the feet of him that brings good tidings, that publishes peace! O Judah, keep your solemn feasts, perform your vows: for the wicked shall no more pass through you; he is utterly cut off.
Nahum 2:1	He that dashes in pieces is come up before your face: keep the fortification, watch the way, make your loins strong, fortify your power mightily.
Nahum 2:2	For the LORD has turned away the excellency of Jacob, as the excellency of Israel: for the emptiers have emptied them out, and marred their vine branches.
Nahum 2:3	The shield of his mighty men is made red, the valiant men are in scarlet: the chariots shall be with flaming torches in the day of his preparation, and the fir trees shall be terribly shaken.
Nahum 2:4	The chariots shall rage in the streets, they shall jostle one against another in the broad ways: they shall seem like torches, they shall run like the lightning.
Nahum 2:5	He shall recount his worthies: they shall stumble in their walk; they shall make haste to the wall thereof, and the defense shall be prepared.
Nahum 2:6	The gates of the rivers shall be opened, and the palace shall be dissolved.
Nahum 2:7	And Huzzab shall be led away captive, she shall be brought up, and her maids shall lead her as with the voice of doves, beating on their breasts.
Nahum 2:8	But Nineveh is of old like a pool of water: yet they shall flee away. Stand, stand, shall they cry; but none shall look back.
Nahum 2:9	Take you the spoil of silver, take the spoil of gold: for there is none end of the store and glory out of all the pleasant furniture.
Nahum 2:10	She is empty, and void, and waste: and the heart melts, and the knees smite together, and much pain is in all loins, and the faces of them all gather blackness.
Nahum 2:11	Where is the dwelling of the lions, and the feeding place of the young lions, where the lion, even the old lion, walked, and the lion’s whelp, and none made them afraid?
Nahum 2:12	The lion did tear in pieces enough for his whelps, and strangled for his lionesses, and filled his holes with prey, and his dens with shred.
Nahum 2:13	Behold, I am against you, said the LORD of hosts, and I will burn her chariots in the smoke, and the sword shall devour your young lions: and I will cut off your prey from the earth, and the voice of your messengers shall no more be heard.
Nahum 3:1	Woe to the bloody city! it is all full of lies and robbery; the prey departs not;
Nahum 3:2	The noise of a whip, and the noise of the rattling of the wheels, and of the prancing horses, and of the jumping chariots.
Nahum 3:3	The horseman lifts up both the bright sword and the glittering spear: and there is a multitude of slain, and a great number of carcasses; and there is none end of their corpses; they stumble on their corpses:
Nahum 3:4	Because of the multitude of the prostitutions of the well favored harlot, the mistress of witchcrafts, that sells nations through her prostitutions, and families through her witchcrafts.
Nahum 3:5	Behold, I am against you, said the LORD of hosts; and I will discover your skirts on your face, and I will show the nations your nakedness, and the kingdoms your shame.
Nahum 3:6	And I will cast abominable filth on you, and make you vile, and will set you as a spectacle.
Nahum 3:7	And it shall come to pass, that all they that look on you shall flee from you, and say, Nineveh is laid waste: who will bemoan her? from where shall I seek comforters for you?
Nahum 3:8	Are you better than populous No, that was situate among the rivers, that had the waters round about it, whose rampart was the sea, and her wall was from the sea?
Nahum 3:9	Ethiopia and Egypt were her strength, and it was infinite; Put and Lubim were your helpers.
Nahum 3:10	Yet was she carried away, she went into captivity: her young children also were dashed in pieces at the top of all the streets: and they cast lots for her honorable men, and all her great men were bound in chains.
Nahum 3:11	You also shall be drunken: you shall be hid, you also shall seek strength because of the enemy.
Nahum 3:12	All your strong holds shall be like fig trees with the first ripe figs: if they be shaken, they shall even fall into the mouth of the eater.
Nahum 3:13	Behold, your people in the middle of you are women: the gates of your land shall be set wide open to your enemies: the fire shall devour your bars.
Nahum 3:14	Draw you waters for the siege, fortify your strong holds: go into clay, and tread the mortar, make strong the brick kiln.
Nahum 3:15	There shall the fire devour you; the sword shall cut you off, it shall eat you up like the cankerworm: make yourself many as the cankerworm, make yourself many as the locusts.
Nahum 3:16	You have multiplied your merchants above the stars of heaven: the cankerworm spoils, and flees away.
Nahum 3:17	Your crowned are as the locusts, and your captains as the great grasshoppers, which camp in the hedges in the cold day, but when the sun rises they flee away, and their place is not known where they are.
Nahum 3:18	Your shepherds slumber, O king of Assyria: your nobles shall dwell in the dust: your people is scattered on the mountains, and no man gathers them.
